,City,Latitude,Longtitude,Temp,Max Temp,Cloudiness,Humidity,Wind
0,samusu,60.92,-46.05,15.8,15.8,75.0,66.0,4.7
1,narsaq,-9.8,-139.03,80.69,80.69,2.0,80.0,16.53
2,atuona,22.29,114.16,62.13,63.0,100.0,96.0,8.01
3,victoria,-33.93,18.42,65.68,66.99,75.0,93.0,10.29
4,cape town,-23.12,-134.97,78.44,78.44,0.0,79.0,15.35
5,rikitea,49.78,-74.85,25.63,25.63,100.0,96.0,7.05
6,chapais,-46.19,168.86,57.99,57.99,81.0,91.0,0.54
7,mataura,33.85,-118.05,61.03,71.01,1.0,72.0,4.7
8,la palma,39.04,65.58,38.07,38.07,100.0,77.0,6.11
9,koson,-42.78,147.06,61.34,64.99,100.0,67.0,1.99
10,new norfolk,-33.87,121.9,65.52,65.52,1.0,83.0,4.38
11,jilmah,-0.74,-90.35,79.0,79.0,76.0,58.0,4.0
12,esperance,-33.65,115.33,65.08,66.0,21.0,59.0,11.39
13,burica,-42.88,147.33,61.48,64.99,100.0,74.0,1.01
14,puerto ayora,51.55,118.33,-1.53,-1.53,29.0,82.0,3.65
15,busselton,6.12,81.12,79.34,79.34,100.0,76.0,21.92
16,hobart,38.52,-28.7,54.48,54.48,100.0,92.0,11.32
17,gazimurskiy zavod,-38.72,-62.27,89.78,89.78,0.0,16.0,16.64
18,hambantota,51.71,143.23,-11.99,-11.99,0.0,89.0,9.48
19,ribeira grande,29.97,40.21,44.53,44.53,90.0,64.0,10.76
20,bahia blanca,46.57,-72.75,30.88,32.0,100.0,31.0,3.0
21,katangli,22.08,-159.32,71.01,71.01,68.0,59.0,1.99
22,sakakah,-46.6,168.33,57.99,57.99,32.0,91.0,3.02
23,shawinigan,69.45,-133.04,-13.74,-13.74,100.0,97.0,19.69
24,kapaa,14.9,-24.5,74.68,74.68,23.0,61.0,22.91
25,mys shmidta,67.45,153.68,-27.47,-27.47,100.0,96.0,7.96
26,macaboboni,71.0,24.66,24.73,24.73,100.0,60.0,27.67
27,bluff,46.62,10.7,32.32,36.0,40.0,64.0,1.12
28,tuktoyaktuk,55.74,-97.86,19.26,19.26,76.0,91.0,0.34
29,sao filipe,14.97,8.89,70.77,70.77,0.0,9.0,14.12
30,srednekolymsk,5.41,100.34,80.01,80.01,15.0,83.0,2.04
31,havoysund,19.73,-155.09,66.22,72.0,21.0,94.0,1.01
32,lasa,28.23,83.98,47.08,47.08,0.0,86.0,1.61
33,thompson,47.67,-52.73,23.76,25.0,0.0,63.0,5.01
34,tanout,3.87,17.99,75.27,75.27,100.0,20.0,1.63
35,georgetown,-22.67,167.48,77.32,77.32,24.0,82.0,21.54
36,hilo,71.04,27.85,18.19,18.19,100.0,71.0,9.75
37,pokhara,-29.95,-71.34,63.97,63.97,0.0,87.0,5.32
38,torbay,70.63,147.92,-32.53,-32.53,33.0,91.0,1.95
39,mbaiki,-46.28,169.85,58.15,58.15,96.0,77.0,4.92
40,vao,72.79,-56.15,-12.46,-12.46,100.0,93.0,5.79
41,mehamn,42.1,-79.24,36.43,37.99,100.0,95.0,3.0
42,coquimbo,-8.93,125.41,68.86,68.86,100.0,94.0,1.95
43,chokurdakh,-54.8,-68.3,46.42,46.42,100.0,79.0,7.74
44,kaitangata,65.98,60.31,-9.89,-9.89,94.0,99.0,1.68
45,upernavik,-20.34,57.76,77.65,78.8,40.0,78.0,16.11
46,jamestown,62.51,65.89,-6.29,-6.29,76.0,96.0,2.66
47,airai,69.22,-51.1,12.2,12.2,40.0,43.0,6.93
48,ushuaia,-53.15,-70.92,59.0,59.0,72.0,47.0,38.99
49,verkhnyaya inta,3.07,172.79,84.85,84.85,7.0,72.0,9.24
50,bambous virieux,-34.42,19.23,66.45,66.99,13.0,84.0,1.01
51,andra,47.79,-64.94,25.0,25.0,24.0,82.0,1.99
52,ilulissat,5.97,80.42,75.78,75.78,100.0,81.0,7.09
53,punta arenas,11.03,-63.86,85.32,85.32,100.0,55.0,1.86
54,butaritari,70.47,-68.59,-17.41,-17.41,77.0,78.0,3.58
55,hermanus,-21.2,-175.2,78.51,78.51,83.0,85.0,24.23
56,caraquet,78.22,15.64,-12.28,-12.28,0.0,61.0,2.42
57,weligama,33.19,-82.53,53.47,55.4,1.0,47.0,10.29
58,la asuncion,20.51,-86.95,81.46,82.99,7.0,73.0,5.01
59,clyde river,22.57,59.53,69.73,69.73,2.0,75.0,3.31
60,vaini,9.08,6.02,84.56,84.56,81.0,6.0,1.81
61,longyearbyen,-21.36,55.77,69.04,71.01,100.0,89.0,4.0
